date,name,category,value
2023,ADIDAS,Germany,36.32
2023,H&M,Sweden,28.37
2024,LVMH,France,429.02
2024,HERMES,France,260.60
2024,INDITEX,Spain,148.80
2024,DIOR,France,146.00
2024,NIKE,USA,138.25
2024,TJX COMPANIES,USA,111.52
2024,FAST RETAILING,Japan,80.66
2024,CINTAS,USA,70.49
2024,KERING,France,44.92
2024,ROSS STORES,USA,44.84
2024,ADIDAS,Germany,45.10
2024,H&M,Sweden,26.33
